title,tags,dates,text
Compliance entities built RGGI positions following Q1 auction -report,"Americas,US","Published 21:29 on May 20, 2020  /  Last updated at 22:51 on May 20, 2020  /  ","Compliance-oriented entities increased their RGGI allowance (RGA) holdings after the Northeast US ETS’ first quarterly sale of 2020 and as the coronavirus pandemic caused prices to briefly crash on the secondary market, according to a report published Wednesday."
WCI carbon prices to remain near floor in 2020 due to COVID-19 -analysis,"Americas,Canada,US","Published 21:00 on May 20, 2020  /  Last updated at 18:22 on May 20, 2020  /  ","California Carbon Allowances (CCAs) will stay tethered to the WCI floor price through the end of the year as a result of the coronavirus pandemic curtailing economic activity and emission output in the linked ETS, analysts said Wednesday."
Massachusetts’ GWSA cap-and-trade surplus rises on milder weather and imports,"Americas,US","Published 16:59 on May 20, 2020  /  Last updated at 16:59 on May 20, 2020  /  ","Massachusetts electricity generators reduced emissions under the Global Warming Solution Act (GWSA) programme in 2019 as a result of milder weather and increased imports, but allowance prices still remained high due to illiquid conditions, a new report showed."
Oregon unable to sell allowances under proposed ‘cap-and-reduce’ programme,"Americas,Canada,US","Published 22:08 on May 19, 2020  /  Last updated at 23:15 on May 19, 2020  /  ","Oregon’s Environmental Quality Commission (EQC) does not have the legal authority to auction permits under the state’s potential carbon reduction policy, but alternative compliance pathways such as trading should not face a similar barrier, a state agency said Monday."
PJM electricity generators differing in views of CO2 border adjustment,"Americas,Carbon Taxes,US","Published 20:11 on May 19, 2020  /  Last updated at 23:18 on May 19, 2020  /  ",PJM stakeholders expressed various opinions Tuesday on whether a carbon border adjustment in the wholesale power grid is best for lowering emissions within the 14-jurisdiction region.
ANALYSIS: Traders expect scant buying interest at WCI Q2 auction amid COVID-19 pandemic,"Americas,Canada,US","Published 18:56 on May 19, 2020  /  Last updated at 23:46 on May 19, 2020  /  ","WCI participants anticipate limited demand for California Carbon Allowances (CCAs) at Wednesday’s joint sale after prices crashed on the secondary market this spring, which allowed compliance entities to pick up permits at a much cheaper rate than the auction floor price."
"California seeks judgement on WCI ETS linkage, rebukes federal government’s final challenge","Americas,Canada,US","Published 18:20 on May 19, 2020  /  Last updated at 23:53 on May 19, 2020  /  ","California officials are urging a federal court to dismiss the final argument against its ETS linkage with Quebec, while arguing that the Department of Justice’s (DOJ) challenge under the US Constitution’s Foreign Affairs Doctrine represented a significant expansion of power over states."
RGGI facilities surrender 1.7 mln allowances for past ETS obligations,"Americas,US","Published 23:27 on May 18, 2020  /  Last updated at 22:26 on May 19, 2020  /  ","Two RGGI power plants surrendered allowances last year for past carbon obligations in the Northeast power sector ETS, programme officials confirmed Monday."
"Argus cancels Napa carbon market conference, considers digital option","Americas,Canada,RINs & LCFS,US","Published 17:59 on May 18, 2020  /  Last updated at 18:17 on May 18, 2020  /  ","Price reporting agency Argus Media has cancelled its Biofuels and Carbon Markets Summit in California this autumn due to COVID-19, but the company said Monday that it may offer a digital version instead."
Attorneys general request RFS waivers as EPA submits biofuel quotas,"Americas,RINs & LCFS,US","Published 17:47 on May 18, 2020  /  Last updated at 22:39 on May 18, 2020  /  ","Attorneys general from seven refining-heavy states on Friday asked the US EPA to waive Renewable Fuel Standard (RFS) blending requirements this year due to coronavirus-induced economic impacts, as the federal agency sent its 2021 biofuel quotas for White House review."
"Speculators cut WCI allowance holdings as prices approached floor, data shows","Americas,Canada,US","Published 22:00 on May 15, 2020  /  Last updated at 22:12 on May 15, 2020  /  ","Speculators trimmed their length in the California Carbon Allowance (CCA) market as the secondary market trended back towards the WCI floor price, with compliance entities adding to their holdings during that period,US Commodity Futures Trading Commission (CFTC) data showed Friday."
Revised California 2020-21 budget outlines lower ETS revenues,"Americas,Canada,US","Published 21:37 on May 15, 2020  /  Last updated at 21:45 on May 15, 2020  /  ","California Governor Gavin Newsom’s revised budget proposal released Thursday anticipates reduced revenue from quarterly cap-and-trade auctions in the next fiscal year, with a flexible mechanism to allocate funding based on future ETS proceeds."
TCI delays final carbon market framework until autumn due to COVID-19,"Americas,US","Published 21:36 on May 15, 2020  /  Last updated at 21:49 on May 15, 2020  /  ","The US Transportation and Climate Initiative (TCI) postponed the final Memorandum of Understanding (MOU) for its proposed fuel sector cap-and-trade scheme until this fall in light of the impacts from the coronavirus pandemic, according to an updated timeline released Friday afternoon."
ICAO postpones decision on rubberstamping certain VCS offsets for CORSIA eligibility,"Africa,Americas,Asia Pacific,Aviation/CORSIA,China's Offset Market,Climate Talks,EMEA,International,New Market Mechanisms,Other APAC,REDD,South & Central,US,Voluntary Market","Published 16:03 on May 15, 2020  /  Last updated at 21:03 on May 15, 2020  /  ","ICAO’s Council will push back a decision on lifting temporary restrictions to Verified Carbon Standard (VCS) credits approved for the global aviation offset system CORSIA, standard and developer manager Verra told Carbon Pulse."
COVID-19 impacts presenting challenges for California offset developers and verifiers,"Americas,Canada,US,Voluntary Market","Published 22:56 on May 14, 2020  /  Last updated at 23:22 on May 14, 2020  /  ","California Carbon Offset (CCO) prices collapsing this spring has made the process of selling and developing compliance offsets more difficult, as ‘shelter-in-place’ restrictions across the US could present issues for certain verification activities down the road, stakeholders said Thursday."
NA Markets: California allowances rise toward floor price as RGGI slides to 2-week low,"Americas,Canada,US","Published 22:28 on May 14, 2020  /  Last updated at 22:28 on May 14, 2020  /  ","California Carbon Allowance (CCA) prices continued to zero in on the WCI floor price this week as strong demand persisted on the secondary market, while RGGI Allowances (RGAs) fell back on thin volume."
US Justice Department’s final challenge to WCI linkage to be heard in late June,"Americas,Canada,US","Published 03:26 on May 14, 2020  /  Last updated at 00:13 on May 15, 2020  /  ","A federal court will hear arguments in late June about whether California’s ETS linkage with Quebec violates the US Constitution’s Foreign Affairs Doctrine by conflicting with the Trump administration’s decision to leave the Paris Agreement, according to documents filed late Wednesday."
"TCI carbon market framework progresses, but doubts persist about timeline","Americas,US","Published 22:45 on May 13, 2020  /  Last updated at 01:57 on May 14, 2020  /  ","The Transportation and Climate Initiative (TCI) is working through disagreements on its final Memorandum of Understanding (MOU) that could extend the current timeline for publication, but some believe the framework to regulate fuel sector emissions across two US regions is nearing completion."
"California sets 20-mth high with 11.2 mln new offsets, as Quebec issues first credits since July","Americas,Canada,Mexico,US,Voluntary Market","Published 22:34 on May 13, 2020  /  Last updated at 00:29 on May 14, 2020  /  ","California regulator ARB minted 11.2 million new credits this week in its highest single issuance since autumn of 2018, while Quebec’s environment ministry handed out its first compliance offsets in 10 months, according to data released Wednesday."
EU keeps mum on CORSIA baseline as study says change could wipe airline offset obligations,"Africa,Americas,Asia Pacific,Aviation/CORSIA,China's Offset Market,Climate Talks,EMEA,EU ETS,International,New Market Mechanisms,Other APAC,REDD,South & Central,US,Voluntary Market","Published 19:11 on May 13, 2020  /  Last updated at 02:39 on May 14, 2020  /  ","Airlines could avoid buying CORSIA units through the mid-2020s if nations alter the emissions baseline for the international aviation offset system, a study showed, with the EU on Wednesday making no mention of changing that provision in its proposal to implement the ICAO programme’s pilot phase."
Global carbon fund hands back majority of early gains after volatility bet sours,"Americas,Asia Pacific,Bavardage,Canada,EMEA,EU ETS,International,Kyoto Mechanisms,New Zealand,South Korea,US","Published 18:34 on May 13, 2020  /  Last updated at 20:47 on May 13, 2020  /  ",A carbon market investment fund in April handed back most of the gains made the previous month after a bet on volatility went sour.
NA Markets: California allowances edge back to floor price ahead of May auction,"Americas,Canada,US","Published 21:25 on May 12, 2020  /  Last updated at 00:12 on May 13, 2020  /  ","California Carbon Allowances (CCAs) transacted at the WCI floor price on the secondary market for the first time since mid-March on Tuesday, with traders attributing the higher values to increased demand ahead of the Q2 auction."
LCFS Market: California credits climb past $200,"Americas,RINs & LCFS,US","Published 17:14 on May 12, 2020  /  Last updated at 00:14 on May 13, 2020  /  ","California Low Carbon Fuel Standard (LCFS) credit prices rose past the $200 mark on Tuesday for the first time since March, despite some participants cautioning the increase was not supported by market fundamentals."
California carbon floor price on track for less than 5% increase in 2021,"Americas,Canada,US","Published 14:10 on May 12, 2020  /  Last updated at 00:19 on May 13, 2020  /  ","California’s carbon market floor price is on pace to rise less than 5% in 2021 after year-on-year inflation dipped in April with the coronavirus pandemic sweeping across the US, according to federal data released Tuesday."
"California power sector emissions increased as COVID-19 lockdown began, data shows","Americas,Canada,US","Published 17:41 on May 11, 2020  /  Last updated at 00:23 on May 12, 2020  /  ","California electricity sector emissions climbed year-on-year during March as the coronavirus pandemic forced a statewide ‘shelter-in-place’ order, with natural gas-fired generation making up a larger share of the state’s power, according to California Independent System Operator (CAISO) data."
RFS Market: RIN prices shrug off legal news to hold steady through May,"Americas,RINs & LCFS,US","Published 16:46 on May 11, 2020  /  Last updated at 22:43 on May 11, 2020  /  ","US biofuel credit (RIN) values have held in a narrow range over the past three weeks, coming amid the EPA giving regulatory relief to a bankrupt company on its overdue Renewable Fuel Standard (RFS) obligations and another regulated party indicating it will challenge a lower court’s ruling on small refinery exemptions."
WCI compliance entities increase carbon holdings as speculators shift positions out,"Americas,Canada,US","Published 21:39 on May 8, 2020  /  Last updated at 23:38 on May 8, 2020  /  ","Compliance entities have increased their California Carbon Allowance (CCA) positions on the secondary market as speculators moved their holdings further out on the curve, according to US Commodity Futures Trading Commission (CFTC) data released Friday."
Oregon climate policy rulemakings to begin in earnest next year,"Americas,RINs & LCFS,US","Published 17:43 on May 8, 2020  /  Last updated at 00:19 on May 9, 2020  /  ","The Oregon Department of Environmental Quality (DEQ) will largely commence rulemakings in 2021 to develop a cap-and-reduce programme and strengthen the state’s clean fuel standard, while several related efforts from Governor Kate Brown’s (D) climate-based executive order will begin sooner, the agency said Thursday."
