author                               ,area_of_interest        ,categories                                                                                     ,tags                                                                                                                                                                               ,title                                                                                                                     ,sub_title                                                                                                                 ,abstract                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,date_published      ,link
Sam Van den plas                     ,carbon-pricing          ,eu-carbon-market                                                                               ,"eu-emissions-trading-system,eu-climate-law,eu-green-deal"                                                                                                                         ,When COVID-19 met the EU ETS                                                                                              ,When COVID-19 met the EU ETS                                                                                              ,"The EU carbon market prices are plummeting as a result of the economic shutdown, underlining the need to strengthen the scheme to better sustain similar shocks in the future. No efforts should be spared to stop the spread of the coronavirus pandemic, and it will be critical to ensure that European climate policies are not weakened and stimulus packages also support the EU Green Deal."                                                                                                                                                                                           ,2020-03-26 00:00:00 ,https://carbonmarketwatch.org/2020/03/26/when-covid-19-met-the-eu-ets/
Agnese Ruggiero                      ,carbon-pricing          ,decarbonising-european-industry                                                                ,"eu-emissions-trading-system,industrial-decarbonisation,industrial-emissions-directive"                                                                                            ,How the EU carbon market’s lesser-known cousin could help drive industrial transformation                                 ,How the EU carbon market’s lesser-known cousin could help drive industrial transformation                                 ,"As the EU carbon market is failing to drive down industrial carbon pollution, other rules are needed to provide an extra push. The upcoming"                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,2020-04-29 00:00:00 ,https://carbonmarketwatch.org/2020/04/29/how-the-eu-carbon-markets-lesser-known-cousin-could-help-drive-industrial-transformation/
Kaisa Amaral                         ,                        ,"decarbonising-european-industry,2050-climate-strategies,eu-carbon-market,aviation"            ,"eu-emissions-trading-system,eu-climate-law,eu-green-deal"                                                                                                                         ,Carbon Market Watch Newsletter – March 2020                                                                               ,Carbon Market Watch Newsletter – March 2020                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2020/03/26/carbon-market-watch-newsletter-march-2020/
Ed King (Guest)                      ,                        ,sustainable-development                                                                        ,                                                                                                                                                                                   ,COP26 in the year of health emergency                                                                                     ,COP26 in the year of health emergency                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2020/03/31/cop26-in-the-year-of-health-emergency/
Andrew Coiley                        ,                        ,sustainable-development                                                                        ,"climate-change,covid-19"                                                                                                                                                          ,Climate action: learning from the corona response                                                                         ,Climate action: learning from the corona response                                                                         ,Those who cannot remember the past are condemned to repeat it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2020-03-31 00:00:00 ,https://carbonmarketwatch.org/2020/03/31/climate-action-learning-from-the-corona-response/
Andrew Coiley                        ,                        ,2050-climate-strategies                                                                        ,                                                                                                                                                                                   ,WT! -Climate action takes backseat as world fights virus                                                                  ,WT! -Climate action takes backseat as world fights virus                                                                  ,"The EU carbon market prices are plummeting as a result of the economic shutdown, underlining the need to strengthen the scheme to better sustain similar shocks in the future. No efforts should be spared to stop the spread of the coronavirus pandemic, and it will be critical to ensure that European climate policies are not weakened and stimulus packages also support the EU Green Deal."                                                                                                                                                                                           ,2020-03-31 00:00:00 ,https://carbonmarketwatch.org/2020/03/31/climate-action-takes-backseat-as-world-fights-virus/
Gilles Dufrasne                      ,carbon-pricing          ,"global-markets,aviation"                                                                      ,"article-6,international-civil-aviation-organisation-icao,global-carbon-markets"                                                                                                   ,ICAO’s carbon market report offers valuable lessons for Article 6 talks                                                   ,ICAO’s carbon market report offers valuable lessons for Article 6 talks                                                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2020/04/01/icaos-carbon-market-report-offers-valuable-lessons-for-article-6-talks/
Kaisa Amaral                         ,international-transport ,aviation                                                                                       ,"aviation,covid-19"                                                                                                                                                                ,Airline bailouts set to double to €26bn as countries fail to impose binding green conditions                              ,Airline bailouts set to double to €26bn as countries fail to impose binding green conditions                              ,“France’s green requests are a first but we had non-binding commitments for years and airline pollution ballooned. Marginally more efficient planes won’t put a dent in emissions if airlines still burn fossil fuels that they buy tax-free. Governments should require the industry to take up greener fuels and pay taxes like the rest of us.”                                                                                                                                                                                                                                             ,2020-04-30 00:00:00 ,https://carbonmarketwatch.org/2020/04/30/airline-bailouts-set-to-double-to-e26bn-as-countries-fail-to-impose-binding-green-conditions/
Kaisa Amaral                         ,international-transport ,aviation                                                                                       ,"eu-emissions-trading-system,aviation,covid-19"                                                                                                                                    ,Polluting European airlines seek €12.8 bn (and counting) in bailouts                                                      ,Polluting European airlines seek €12.8 bn (and counting) in bailouts                                                      ,"“Public bailouts must come with strict conditions to protect jobs and slash the aviation sector’s soaring contribution to climate breakdown. Short-haul flights have to become a thing of the past and this money should help airline workers to reskill. Any public funding should lay the foundation for a just and green transition for people and planet, with widespread investment in transport alternatives like trains. Governments must address both the economic impacts of the Covid-19 crisis and the crisis we face in climate change.”"                                         ,2020-04-22 00:00:00 ,https://carbonmarketwatch.org/2020/04/22/polluting-european-airlines-seek-e12-8-bn-and-counting-in-bailouts/
Kaisa Amaral                         ,climate-governance      ,"the-eu-green-deal-and-climate-law,eu-carbon-market,aviation,shipping"                         ,"european-parliament,eu-climate-law,climate-neutrality"                                                                                                                            ,Lead EU lawmaker’s strong call for climate action                                                                         ,Lead EU lawmaker’s strong call for climate action                                                                         ,The lawmaker in charge of the EU Climate Law at the European Parliament proposes that the EU adopts a 65% emission target for 2030 and carbon budgets in line with the latest scientific data. She also calls on all EU governments to endorse the target and for the EU to ensure that aviation and shipping do their share of climate action.                                                                                                                                                                                                                                                ,2020-05-14 00:00:00 ,https://carbonmarketwatch.org/2020/05/14/lead-eu-lawmakers-strong-call-for-climate-action/
